!wl(nm)	Tr (CaF2)
5440 	0.9463
5450 	0.9463
5450 	0.9464
5450 	0.9464
5450 	0.9464
5460 	0.9464
5460 	0.9464
5460 	0.9464
5460 	0.9464
5460 	0.9464
5470 	0.9464
5470 	0.9465
5470 	0.9465
5470 	0.9465
5480 	0.9466
5480 	0.9466
5480 	0.9465
5480 	0.9465
5490 	0.9465
5490 	0.9465
5490 	0.9465
5490 	0.9464
5500 	0.9465
5500 	0.9465
5500 	0.9465
5500 	0.9465
5510 	0.9465
5510 	0.9465
5510 	0.9465
5510 	0.9465
5520 	0.9465
5520 	0.9465
5520 	0.9465
5520 	0.9465
5530 	0.9465
5530 	0.9465
5530 	0.9465
5530 	0.9466
5530 	0.9466
5540 	0.9466
5540 	0.9467
5540 	0.9468
5540 	0.9468
5550 	0.9469
5550 	0.9469
5550 	0.9469
5550 	0.9469
5560 	0.9469
5560 	0.9469
5560 	0.9469
5560 	0.9469
5570 	0.9469
5570 	0.9469
5570 	0.947
5570 	0.947
5580 	0.947
5580 	0.947
5580 	0.947
5580 	0.9469
5590 	0.9469
5590 	0.9469
5590 	0.9469
5590 	0.9469
5600 	0.9469
5600 	0.9469
5600 	0.947
5600 	0.947
5600 	0.947
5610 	0.947
5610 	0.947
5610 	0.947
5610 	0.947
5620 	0.947
5620 	0.947
5620 	0.947
5620 	0.947
5630 	0.947
5630 	0.947
5630 	0.9471
5630 	0.9471
5640 	0.9471
5640 	0.9471
5640 	0.9471
5640 	0.9472
5650 	0.9472
5650 	0.9472
5650 	0.9472
5650 	0.9472
5660 	0.9472
5660 	0.9472
5660 	0.9472
5660 	0.9472
5670 	0.9472
5670 	0.9472
5670 	0.9472
5670 	0.9472
5670 	0.9472
5680 	0.9472
5680 	0.9472
5680 	0.9472
5680 	0.9472
5690 	0.9472
5690 	0.9473
5690 	0.9473
5690 	0.9473
5700 	0.9473
5700 	0.9474
5700 	0.9474
5700 	0.9475
5710 	0.9475
5710 	0.9476
5710 	0.9476
5710 	0.9475
5720 	0.9475
5720 	0.9474
5720 	0.9473
5720 	0.9473
5730 	0.9472
5730 	0.9471
5730 	0.9471
5730 	0.947
5740 	0.947
5740 	0.9469
5740 	0.9469
5740 	0.9468
5750 	0.9468
5750 	0.9467
5750 	0.9468
5750 	0.9468
5750 	0.9469
5760 	0.9469
5760 	0.947
5760 	0.9471
5760 	0.9471
5770 	0.9471
5770 	0.947
5770 	0.947
5770 	0.9469
5780 	0.9469
5780 	0.9468
5780 	0.9468
5780 	0.9468
5790 	0.9469
5790 	0.9469
5790 	0.9469
5790 	0.947
5800 	0.947
5800 	0.947
5800 	0.9471
5800 	0.9471
5810 	0.9472
5810 	0.9473
5810 	0.9474
5810 	0.9474
5820 	0.9475
5820 	0.9476
5820 	0.9476
5820 	0.9476
5820 	0.9477
5830 	0.9476
5830 	0.9476
5830 	0.9476
5830 	0.9476
5840 	0.9476
5840 	0.9476
5840 	0.9476
5840 	0.9476
5850 	0.9476
5850 	0.9477
5850 	0.9477
5850 	0.9477
5860 	0.9478
5860 	0.9478
5860 	0.9478
5860 	0.9478
5870 	0.9479
5870 	0.9479
5870 	0.948
5870 	0.948
5880 	0.9481
5880 	0.9482
5880 	0.9483
5880 	0.9483
5890 	0.9484
5890 	0.9484
5890 	0.9483
5890 	0.9483
5890 	0.9482
5900 	0.9481
5900 	0.948
5900 	0.9479
5900 	0.9478
5910 	0.9478
5910 	0.9478
5910 	0.9478
5910 	0.9478
5920 	0.9478
5920 	0.9478
5920 	0.9478
5920 	0.9478
5930 	0.9478
5930 	0.9479
5930 	0.9479
5930 	0.9479
5940 	0.9479
5940 	0.9479
5940 	0.9479
5940 	0.9479
5950 	0.9478
5950 	0.9478
5950 	0.9477
5950 	0.9476
5960 	0.9476
5960 	0.9475
5960 	0.9474
5960 	0.9474
5960 	0.9473
5970 	0.9473
5970 	0.9473
5970 	0.9472
5970 	0.9472
5980 	0.9472
5980 	0.9472
5980 	0.9472
5980 	0.9472
5990 	0.9472
5990 	0.9471
5990 	0.9471
5990 	0.9471
6000 	0.9471
6000 	0.947
6000 	0.947
6000 	0.947
6010 	0.947
6010 	0.947
6010 	0.947
6010 	0.9469
6020 	0.9469
6020 	0.9469
6020 	0.9469
6020 	0.9469
6030 	0.9469
6030 	0.947
6030 	0.947
6030 	0.9471
6040 	0.9472
6040 	0.9472
6040 	0.9473
6040 	0.9473
6040 	0.9473
6050 	0.9472
6050 	0.9472
6050 	0.9471
6050 	0.947
6060 	0.947
6060 	0.9469
6060 	0.9469
6060 	0.9469
6070 	0.9469
6070 	0.9469
6070 	0.9469
6070 	0.9468
6080 	0.9467
6080 	0.9467
6080 	0.9466
6080 	0.9466
6090 	0.9466
6090 	0.9466
6090 	0.9466
6090 	0.9466
6100 	0.9466
6100 	0.9467
6100 	0.9467
6100 	0.9468
6110 	0.9469
6110 	0.9469
6110 	0.9469
6110 	0.947
6110 	0.9469
6120 	0.9469
6120 	0.9468
6120 	0.9467
6120 	0.9466
6130 	0.9466
6130 	0.9465
6130 	0.9465
6130 	0.9464
6140 	0.9464
6140 	0.9464
6140 	0.9464
6140 	0.9464
6150 	0.9463
6150 	0.9463
6150 	0.9463
6150 	0.9463
6160 	0.9463
6160 	0.9463
6160 	0.9463
6160 	0.9463
6170 	0.9463
6170 	0.9463
6170 	0.9463
6170 	0.9463
6180 	0.9463
6180 	0.9463
6180 	0.9463
6180 	0.9463
6180 	0.9463
6190 	0.9463
6190 	0.9462
6190 	0.9462
6190 	0.9461
6200 	0.9461
6200 	0.9461
6200 	0.946
6200 	0.946
6210 	0.946
6210 	0.946
6210 	0.946
6210 	0.9459
6220 	0.9459
6220 	0.9459
6220 	0.9459
6220 	0.9459
6230 	0.9459
6230 	0.9458
6230 	0.9458
6230 	0.9458
6240 	0.9458
6240 	0.9458
6240 	0.9458
6240 	0.9457
6250 	0.9457
6250 	0.9457
6250 	0.9457
6250 	0.9456
6250 	0.9456
6260 	0.9456
6260 	0.9456
6260 	0.9455
6260 	0.9455
6270 	0.9455
6270 	0.9455
6270 	0.9455
6270 	0.9455
6280 	0.9454
6280 	0.9454
6280 	0.9454
6280 	0.9454
6290 	0.9454
6290 	0.9454
